SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,757 S Kedvale Ave,Chicago,IL,60624,275000,5,2.0,CHI - West Garfield Park,2000,3092,1900,10,138,,Active,,,https://www.redfin.com/IL/Chicago/757-S-Kedvale-Ave-60624/home/13254592,MRED as Distributed by MLS Grid,11920817,N,Y,41.870921,-87.7287474
MLS Listing,,Condo/Co-op,8758 W Berwyn Ave Unit 2N,Chicago,IL,60656,275000,3,2.0,CHI - O'Hare,1300,,1977,10,212,540,Active,,,https://www.redfin.com/IL/Chicago/8758-W-Berwyn-Ave-60656/unit-2N/home/13559728,MRED as Distributed by MLS Grid,11922600,N,Y,41.9753176,-87.8461862
MLS Listing,,Multi-Family (5+ Unit),1707 W 21st St,Chicago,IL,60608,900000,14,7.0,CHI - Lower West Side,3726,6250,1900,11,242,,Active,,,https://www.redfin.com/IL/Chicago/1707-W-21st-St-60608/home/183668332,MRED as Distributed by MLS Grid,11916529,N,Y,41.8538696,-87.6688891
MLS Listing,,Condo/Co-op,111 W Maple St #1802,Chicago,IL,60610,450000,2,2.0,CHI - Near North Side,1250,,1989,11,360,933,Active,,,https://www.redfin.com/IL/Chicago/111-W-Maple-St-60610/unit-1802/home/12792483,MRED as Distributed by MLS Grid,11922954,N,Y,41.9016475,-87.6318546
MLS Listing,,Condo/Co-op,728 W Jackson Blvd #1104,Chicago,IL,60661,399900,2,2.0,CHI - Near West Side,1438,,1915,11,278,690,Active,,,https://www.redfin.com/IL/Chicago/728-W-Jackson-Blvd-60661/unit-1104/home/12815158,MRED as Distributed by MLS Grid,11918002,N,Y,41.8784074,-87.6449683
MLS Listing,,Single Family Residential,2535 S Mary St,Chicago,IL,60608,649900,5,3.5,CHI - Bridgeport,2494,3740,2006,11,261,,Active,,,https://www.redfin.com/IL/Chicago/2535-S-Mary-St-60608/home/18934506,MRED as Distributed by MLS Grid,11916095,N,Y,41.8458153,-87.6527128
MLS Listing,,Single Family Residential,2309 N Geneva Ter,Chicago,IL,60614,3095000,7,6.5,CHI - Lincoln Park,8000,2574,1893,11,387,,Active,,,https://www.redfin.com/IL/Chicago/2309-N-Geneva-Ter-60614/home/13350932,MRED as Distributed by MLS Grid,11922530,N,Y,41.9241175,-87.6436681
MLS Listing,,Condo/Co-op,450 W Armitage Ave #1,Chicago,IL,60614,465000,2,2.0,CHI - Lincoln Park,,,1888,11,,300,Active,,,https://www.redfin.com/IL/Chicago/450-W-Armitage-Ave-60614/unit-1/home/12651635,MRED as Distributed by MLS Grid,11921877,N,Y,41.9184138,-87.640858
MLS Listing,,Condo/Co-op,1729 N Artesian Ave #2,Chicago,IL,60647,499900,2,2.0,CHI - West Town,1200,,2021,11,417,170,Active,,,https://www.redfin.com/IL/Chicago/1729-N-Artesian-Ave-60647/unit-2/home/177013922,MRED as Distributed by MLS Grid,11922258,N,Y,41.913025,-87.688165
MLS Listing,,Single Family Residential,2207 N Mulligan Ave,Chicago,IL,60639,285000,2,1.0,CHI - Belmont Cragin,1056,,1944,11,270,,Active,,,https://www.redfin.com/IL/Chicago/2207-N-Mulligan-Ave-60639/home/13428777,MRED as Distributed by MLS Grid,11917715,N,Y,41.9206107,-87.783937
MLS Listing,,Condo/Co-op,5321 N Lincoln Ave Unit 4A,Chicago,IL,60625,400000,2,2.0,CHI - Lincoln Square,1500,,2005,11,267,383,Active,,,https://www.redfin.com/IL/Chicago/5321-N-Lincoln-Ave-60625/unit-4A/home/12594039,MRED as Distributed by MLS Grid,11921513,N,Y,41.9783722,-87.6922792
MLS Listing,,Condo/Co-op,4218 S King Dr Unit 1N,Chicago,IL,60653,250000,3,2.0,CHI - Grand Boulevard,1465,,2004,11,171,250,Active,,,https://www.redfin.com/IL/Chicago/4218-S-King-Dr-60653/unit-1N/home/18941022,MRED as Distributed by MLS Grid,11922283,N,Y,41.8178568,-87.6174066
MLS Listing,,Condo/Co-op,4857 N Bernard St #1,Chicago,IL,60625,249900,2,1.0,CHI - Albany Park,1100,,1919,12,227,285,Active,,,https://www.redfin.com/IL/Chicago/4857-N-Bernard-St-60625/unit-1/home/12653379,MRED as Distributed by MLS Grid,11921421,N,Y,41.9700471,-87.7143352
MLS Listing,,Townhouse,1646 W Julian St Unit B,Chicago,IL,60622,680000,3,2.5,CHI - West Town,2400,,1995,12,283,113,Active,,,https://www.redfin.com/IL/Chicago/1646-W-Julian-St-60622/unit-B/home/14108414,MRED as Distributed by MLS Grid,11921446,N,Y,41.9085293,-87.6694571
MLS Listing,,Condo/Co-op,60 E Monroe St #3905,Chicago,IL,60603,445000,1,1.0,CHI - Loop,,,2006,12,,701,Active,,,https://www.redfin.com/IL/Chicago/60-E-Monroe-St-60603/unit-3905/home/45512060,MRED as Distributed by MLS Grid,11921334,N,Y,41.8809978,-87.6256565
MLS Listing,,Vacant Land,4427 N Mobile Ave,Chicago,IL,60630,280000,,,CHI - Portage Park,,4356,,13,,,Active,,,https://www.redfin.com/IL/Chicago/4427-N-Mobile-Ave-60630/home/13475503,MRED as Distributed by MLS Grid,11921010,N,Y,41.9611253,-87.784131
MLS Listing,,Condo/Co-op,4507 S Lake Park Ave Unit 2N,Chicago,IL,60653,279000,3,2.0,CHI - Kenwood,1450,,2000,14,192,297,Active,,,https://www.redfin.com/IL/Chicago/4507-S-Lake-Park-Ave-60653/unit-2N/home/12761035,MRED as Distributed by MLS Grid,11919704,N,Y,41.8133073,-87.5959757
MLS Listing,,Multi-Family (2-4 Unit),3601 N Sacramento Ave,Chicago,IL,60618,475000,5,3.0,CHI - Irving Park,,4356,1910,17,,,Active,,,https://www.redfin.com/IL/Chicago/3601-N-Sacramento-Ave-60618/home/13452659,MRED as Distributed by MLS Grid,11915208,N,Y,41.9468556,-87.7026164
MLS Listing,,Condo/Co-op,222 E Chestnut St Unit 6B,Chicago,IL,60611,775000,3,2.5,CHI - Near North Side,2400,,1931,17,323,1852,Active,,,https://www.redfin.com/IL/Chicago/222-E-Chestnut-St-60611/unit-6B/home/14118748,MRED as Distributed by MLS Grid,11918645,N,Y,41.8986915,-87.6209133
MLS Listing,,Single Family Residential,5713 W Leland Ave,Chicago,IL,60630,399000,3,3.0,CHI - Portage Park,1870,4007,1921,17,213,,Active,,,https://www.redfin.com/IL/Chicago/5713-W-Leland-Ave-60630/home/13475219,MRED as Distributed by MLS Grid,11888154,N,Y,41.9657225,-87.7705157
MLS Listing,,Condo/Co-op,3158 N Seminary Ave Unit 4A,Chicago,IL,60657,565000,2,2.0,CHI - Lake View,,,2005,18,,368,Active,,,https://www.redfin.com/IL/Chicago/3158-N-Seminary-Ave-60657/unit-4A/home/21791256,MRED as Distributed by MLS Grid,11917855,N,Y,41.939645,-87.6566807
MLS Listing,,Single Family Residential,5320 S Tripp Ave,Chicago,IL,60638,293500,4,1.0,CHI - Clearing,2130,,1939,18,138,,Active,,,https://www.redfin.com/IL/Chicago/5320-S-Tripp-Ave-60632/home/14020301,MRED as Distributed by MLS Grid,11915254,N,Y,41.7961314,-87.7296824
MLS Listing,,Condo/Co-op,2753 N Hampden Ct Unit 2B,Chicago,IL,60614,1895000,4,4.5,CHI - Lincoln Park,2902,,2019,18,653,650,Active,,,https://www.redfin.com/IL/Chicago/2753-N-Hampden-Ct-60614/unit-2B/home/144232690,MRED as Distributed by MLS Grid,11905082,N,Y,41.9322901,-87.6420418
MLS Listing,,Condo/Co-op,2909 N Sheridan Rd #1308,Chicago,IL,60657,159900,1,1.0,CHI - Lake View,700,,1954,18,228,690,Active,,,https://www.redfin.com/IL/Chicago/2909-N-Sheridan-Rd-60657/unit-1308/home/13370400,MRED as Distributed by MLS Grid,11917558,N,Y,41.9347042,-87.6390529
MLS Listing,,Condo/Co-op,20 N State St #304,Chicago,IL,60602,250000,1,1.0,CHI - Loop,,,1929,18,,428,Active,,,https://www.redfin.com/IL/Chicago/20-N-State-St-60602/unit-304/home/12679488,MRED as Distributed by MLS Grid,11915988,N,Y,41.8826997,-87.6282649
MLS Listing,,Condo/Co-op,1833 W Iowa St #3,Chicago,IL,60622,635000,2,2.0,CHI - West Town,1400,,2002,18,454,277,Active,,,https://www.redfin.com/IL/Chicago/1833-W-Iowa-St-60622/unit-3/home/12705579,MRED as Distributed by MLS Grid,11914618,N,Y,41.8976551,-87.6735704
MLS Listing,,Single Family Residential,3900 W Montrose Ave,Chicago,IL,60618,524900,5,4.0,CHI - Albany Park,2000,4138,1910,19,262,,Active,,,https://www.redfin.com/IL/Chicago/3900-W-Montrose-Ave-60618/home/13486508,MRED as Distributed by MLS Grid,11916433,N,Y,41.9611712,-87.7255787
MLS Listing,,Condo/Co-op,101 W Superior St #905,Chicago,IL,60654,470000,2,2.0,CHI - Near North Side,1075,,2004,20,437,726,Active,,,https://www.redfin.com/IL/Chicago/101-W-Superior-St-60654/unit-905/home/12638560,MRED as Distributed by MLS Grid,11915948,N,Y,41.8954259,-87.6317101
MLS Listing,,Single Family Residential,11347 S Church St,Chicago,IL,60643,285000,3,3.0,CHI - Morgan Park,1538,7501,1902,20,185,,Active,,,https://www.redfin.com/IL/Chicago/11347-S-Church-St-60643/home/13068932,MRED as Distributed by MLS Grid,11910538,N,Y,41.6874098,-87.6673793
MLS Listing,,Condo/Co-op,65 E Monroe St #4206,Chicago,IL,60603,775000,2,2.0,CHI - Loop,1430,,2008,20,542,1125,Active,,,https://www.redfin.com/IL/Chicago/65-E-Monroe-St-60603/unit-4206/home/39567239,MRED as Distributed by MLS Grid,11911007,N,Y,41.8806386,-87.6255308
MLS Listing,,Condo/Co-op,3201 W Leland Ave #212,Chicago,IL,60625,334900,2,2.0,CHI - Albany Park,,,2010,20,,378,Active,,,https://www.redfin.com/IL/Chicago/3201-W-Leland-Ave-60625/unit-212/home/45511602,MRED as Distributed by MLS Grid,11915547,N,Y,41.966384,-87.708777
MLS Listing,,Condo/Co-op,210 S Desplaines St #908,Chicago,IL,60661,225000,0,1.0,CHI - Near West Side,650,,2004,21,346,450,Active,,,https://www.redfin.com/IL/Chicago/210-S-Desplaines-St-60661/unit-908/home/12615798,MRED as Distributed by MLS Grid,11910651,N,Y,41.8789423,-87.6445088
MLS Listing,,Condo/Co-op,545 N Dearborn St #1206,Chicago,IL,60654,339000,1,1.0,CHI - Near North Side,750,,2003,21,452,546,Active,,,https://www.redfin.com/IL/Chicago/545-N-Dearborn-St-60654/unit-1206/home/185636982,MRED as Distributed by MLS Grid,11914710,N,Y,41.892138,-87.6293649
MLS Listing,,Condo/Co-op,848 W Erie St #2,Chicago,IL,60642,499900,2,2.0,CHI - West Town,,,2010,21,,115,Active,,,https://www.redfin.com/IL/Chicago/848-W-Erie-St-60642/unit-2/home/45508051,MRED as Distributed by MLS Grid,11914672,N,Y,41.8936162,-87.6495302
MLS Listing,,Condo/Co-op,2024 S Wabash Ave #204,Chicago,IL,60638,289900,2,2.0,CHI - Near South Side,1290,,1920,25,225,673,Active,,,https://www.redfin.com/IL/Chicago/2024-S-Wabash-Ave-60616/unit-204/home/12750218,MRED as Distributed by MLS Grid,11911642,N,Y,41.8546146,-87.6260075
MLS Listing,,Condo/Co-op,625 W Jackson Blvd #208,Chicago,IL,60661,374900,2,2.0,CHI - Near West Side,1286,,1918,25,292,625,Active,,,https://www.redfin.com/IL/Chicago/625-W-Jackson-Blvd-60661/unit-208/home/12736352,MRED as Distributed by MLS Grid,11912694,N,Y,41.8778774,-87.6435687
MLS Listing,,Single Family Residential,4140 S Calumet Ave,Chicago,IL,60653,624900,4,3.5,CHI - Grand Boulevard,3000,5070,2016,25,208,,Active,,,https://www.redfin.com/IL/Chicago/4140-S-Calumet-Ave-60653/home/58558998,MRED as Distributed by MLS Grid,11907344,N,Y,41.8190187,-87.6186077
MLS Listing,,Condo/Co-op,221 E Cullerton St #616,Chicago,IL,60616,255000,1,1.0,Prairie Avenue Lofts,950,,2003,25,268,422,Active,,,https://www.redfin.com/IL/Chicago/221-E-Cullerton-St-60616/unit-616/home/12707899,MRED as Distributed by MLS Grid,11912485,N,Y,41.8553079,-87.6210253
MLS Listing,,Condo/Co-op,1636 W Melrose St #104,Chicago,IL,60657,230000,1,1.0,CHI - Lake View,,,1925,25,,197,Active,,,https://www.redfin.com/IL/Chicago/1636-W-Melrose-St-60657/unit-104/home/12743685,MRED as Distributed by MLS Grid,11912429,N,Y,41.9408453,-87.6701752
MLS Listing,,Condo/Co-op,3242 N Milwaukee Ave Unit 4N,Chicago,IL,60618,585000,3,2.0,CHI - Avondale,1850,,2010,26,316,250,Active,,,https://www.redfin.com/IL/Chicago/3242-N-Milwaukee-Ave-60618/unit-4N/home/88575917,MRED as Distributed by MLS Grid,11911517,N,Y,41.9398362,-87.7255155
MLS Listing,,Condo/Co-op,230 W Division St #702,Chicago,IL,60610,449000,2,2.0,Venetian,1300,,2004,26,345,842,Active,,,https://www.redfin.com/IL/Chicago/230-W-Division-St-60610/unit-702/home/12650713,MRED as Distributed by MLS Grid,11911473,N,Y,41.9040532,-87.6357004
MLS Listing,,Single Family Residential,1319 W 32nd Pl,Chicago,IL,60608,745000,4,3.5,CHI - Bridgeport,3000,2918,2005,27,248,180,Active,,,https://www.redfin.com/IL/Chicago/1319-W-32nd-Pl-60608/home/26821876,MRED as Distributed by MLS Grid,11906827,N,Y,41.8347789,-87.6594424
MLS Listing,,Condo/Co-op,2028 W Augusta Blvd Unit 2E,Chicago,IL,60622,464900,2,2.0,CHI - West Town,1250,,2008,27,372,197,Active,,,https://www.redfin.com/IL/Chicago/2028-W-Augusta-Blvd-60622/unit-2E/home/26812669,MRED as Distributed by MLS Grid,11910640,N,Y,41.8997658,-87.6783192
MLS Listing,,Townhouse,1640 N Orchard St Unit B,Chicago,IL,60614,1025000,3,3.0,CHI - Lincoln Park,2500,2950,1985,27,410,,Active,,,https://www.redfin.com/IL/Chicago/1640-N-Orchard-St-60614/unit-B/home/13346478,MRED as Distributed by MLS Grid,11909439,N,Y,41.9121694,-87.6462332
MLS Listing,,Townhouse,1001 S Plymouth Ct Unit A,Chicago,IL,60605,569000,3,2.5,CHI - Loop,1800,,1980,27,316,430,Active,,,https://www.redfin.com/IL/Chicago/1001-S-Plymouth-Ct-60605/unit-A/home/14090734,MRED as Distributed by MLS Grid,11910458,N,Y,41.869628,-87.6277476
MLS Listing,,Single Family Residential,8216 S Hermitage Ave,Chicago,IL,60620,231000,4,2.5,CHI - Auburn Gresham,1479,3920,1924,31,156,,Active,,,https://www.redfin.com/IL/Chicago/8216-S-Hermitage-Ave-60620/home/13907407,MRED as Distributed by MLS Grid,11905650,N,Y,41.744308,-87.6674053
MLS Listing,,Condo/Co-op,756 W 14th St #301,Chicago,IL,60607,284900,2,1.0,CHI - Near West Side,1000,,2007,31,285,475,Active,,,https://www.redfin.com/IL/Chicago/756-W-14th-St-60607/unit-301/home/21809396,MRED as Distributed by MLS Grid,11904617,N,Y,41.8636833,-87.6464505
MLS Listing,,Single Family Residential,6004 S May St,Chicago,IL,60621,169900,4,2.0,CHI - Englewood,1828,,1950,31,93,,Active,,,https://www.redfin.com/IL/Chicago/6004-S-May-St-60621/home/13939498,MRED as Distributed by MLS Grid,11905414,N,Y,41.7848106,-87.6537393
MLS Listing,,Condo/Co-op,7442 N Hermitage Ave Unit 1J,Chicago,IL,60626,260000,3,2.0,Hermitage Manor,1510,,1948,32,172,373,Active,,,https://www.redfin.com/IL/Chicago/7442-N-Hermitage-Ave-60626/unit-1J/home/176999700,MRED as Distributed by MLS Grid,11903067,N,Y,42.0172019,-87.6740429
MLS Listing,,Condo/Co-op,550 N Saint Clair St #1406,Chicago,IL,60611,359900,1,1.0,CHI - Near North Side,850,,2008,33,423,595,Active,,,https://www.redfin.com/IL/Chicago/550-N-Saint-Clair-St-60611/unit-1406/home/45508350,MRED as Distributed by MLS Grid,11906717,N,Y,41.8922991,-87.6229169
MLS Listing,,Condo/Co-op,1850 N Clark St #2803,Chicago,IL,60614,350000,2,2.0,Hemingway House,1100,,1968,33,318,1182,Active,,,https://www.redfin.com/IL/Chicago/1850-N-Clark-St-60614/unit-2803/home/13345202,MRED as Distributed by MLS Grid,11901057,N,Y,41.9163638,-87.6349749
MLS Listing,,Multi-Family (2-4 Unit),1539 N Kolin Ave,Chicago,IL,60651,450000,6,3.0,CHI - Humboldt Park,,3049,1914,34,,,Active,,,https://www.redfin.com/IL/Chicago/1539-N-Kolin-Ave-60651/home/183050933,MRED as Distributed by MLS Grid,11905220,N,Y,41.9088056,-87.7347993
MLS Listing,,Condo/Co-op,702 E 51st St #3,Chicago,IL,60615,260000,3,2.0,Parkview Condos,1600,,1906,38,163,377,Active,,,https://www.redfin.com/IL/Chicago/702-E-51st-St-60615/unit-3/home/12761478,MRED as Distributed by MLS Grid,11903334,N,Y,41.8024517,-87.6085902
MLS Listing,,Single Family Residential,6933 S East End Ave,Chicago,IL,60649,325000,4,3.0,CHI - South Shore,1440,31058,2000,39,226,,Active,,,https://www.redfin.com/IL/Chicago/6933-S-East-End-Ave-60649/home/13926990,MRED as Distributed by MLS Grid,11890411,N,Y,41.7688714,-87.5824877
MLS Listing,,Condo/Co-op,3705 W Altgeld St #1,Chicago,IL,60647,238000,2,1.0,CHI - Logan Square,,,1932,39,,211,Active,,,https://www.redfin.com/IL/Chicago/3705-W-Altgeld-St-60647/unit-1/home/23019906,MRED as Distributed by MLS Grid,11896491,N,Y,41.9262913,-87.7198726
MLS Listing,,Condo/Co-op,240 E Illinois St #2603,Chicago,IL,60611,424000,1,1.0,CHI - Near North Side,,,2008,40,,745,Active,,,https://www.redfin.com/IL/Chicago/240-E-Illinois-St-60611/unit-2603/home/13150347,MRED as Distributed by MLS Grid,11893387,N,Y,41.8911546,-87.6210377
MLS Listing,,Single Family Residential,4339 S Oakenwald Ave,Chicago,IL,60653,709000,4,3.0,CHI - Kenwood,3200,3092,2000,40,222,,Active,,,https://www.redfin.com/IL/Chicago/4339-S-Oakenwald-Ave-60653/home/12784933,MRED as Distributed by MLS Grid,11901166,N,Y,41.8159812,-87.5965146
MLS Listing,,Vacant Land,2434 N Saint Louis Ave,Chicago,IL,60647,415000,,,CHI - Logan Square,,3049,,42,,,Active,,,https://www.redfin.com/IL/Chicago/2434-N-Saint-Louis-Ave-60647/home/13444893,MRED as Distributed by MLS Grid,11898516,N,Y,41.9256343,-87.7149278
MLS Listing,,Multi-Family (2-4 Unit),3657 N Lotus Ave,Chicago,IL,60641,730000,6,3.5,CHI - Portage Park,,3750,1925,42,,,Active,,,https://www.redfin.com/IL/Chicago/3657-N-Lotus-Ave-60641/home/187793645,MRED as Distributed by MLS Grid,11894164,N,Y,41.9476172,-87.7628491
MLS Listing,,Condo/Co-op,175 E Delaware Pl #7508,Chicago,IL,60611,2449900,4,4.5,CHI - Near North Side,4200,,1970,45,583,3998,Active,,,https://www.redfin.com/IL/Chicago/175-E-Delaware-Pl-60611/unit-7508/home/14119131,MRED as Distributed by MLS Grid,11897515,N,Y,41.8990143,-87.6228548
MLS Listing,,Townhouse,2405 W Flournoy St Unit B,Chicago,IL,60612,349900,2,1.5,CHI - Near West Side,1500,,1997,46,233,216,Active,,,https://www.redfin.com/IL/Chicago/2405-W-Flournoy-St-60612/unit-B/home/12791576,MRED as Distributed by MLS Grid,11890328,N,Y,41.8728108,-87.6865178
MLS Listing,,Condo/Co-op,1515 S Prairie Ave #1004,Chicago,IL,60605,287000,1,1.5,CHI - Near South Side,900,,2003,49,319,807,Active,,,https://www.redfin.com/IL/Chicago/1515-S-Prairie-Ave-60605/unit-1004/home/12675088,MRED as Distributed by MLS Grid,11893269,N,Y,41.8617675,-87.6202181
MLS Listing,,Multi-Family (2-4 Unit),2500 N Mozart St,Chicago,IL,60647,1424900,6,5.5,CHI - Logan Square,,,1909,53,,,Active,,,https://www.redfin.com/IL/Chicago/2500-N-Mozart-St-60647/home/13450194,MRED as Distributed by MLS Grid,11891450,N,Y,41.9267365,-87.6989904
MLS Listing,,Vacant Land,11353 S Forest Ave,Chicago,IL,60628,24900,,,CHI - Roseland,,,,53,,,Active,,,https://www.redfin.com/IL/Chicago/11353-S-Forest-Ave-60628/home/13061624,MRED as Distributed by MLS Grid,11888172,N,Y,41.6875659,-87.615311
MLS Listing,,Single Family Residential,915 W 123rd St,Calumet Park,IL,60827,189900,4,2.0,Calumet Park,1400,4329,1913,55,136,,Active,,,https://www.redfin.com/IL/Calumet-Park/915-W-123rd-St-60827/home/13051142,MRED as Distributed by MLS Grid,11888919,N,Y,41.6703091,-87.6449776
MLS Listing,,Condo/Co-op,125 S Jefferson St #2408,Chicago,IL,60661,255000,1,1.0,CHI - Near West Side,780,,2003,59,327,580,Active,,,https://www.redfin.com/IL/Chicago/125-S-Jefferson-St-60661/unit-2408/home/12679364,MRED as Distributed by MLS Grid,11884131,N,Y,41.879941,-87.6421575
