area,area_num_1,area_numbe,comarea,comarea_id,community,perimeter,shape_area,shape_len,coeff,bias,condo_coeff,condo_bias,sf_coeff,sf_bias,mf_coeff,mf_bias
0.0,35,35,0.0,0.0,DOUGLAS,0.0,46004621.1581,31027.0545098,-102582.59226723989,298431.0236195532,22431.492498176398,184095.35995785866,385602.13057708915,375005.49023382796,-794761.9375493615,781545.512445358
0.0,36,36,0.0,0.0,OAKLAND,0.0,16913961.0408,19565.5061533,75383.17807192447,295042.2942545139,359489.94126557664,235441.90757634942,-229126.2822780895,568443.6583736552,0.0,0.0
0.0,37,37,0.0,0.0,FULLER PARK,0.0,19916704.8692,25339.0897503,37561.82546572751,160942.86534946936,441126.7605631877,231999.99999999994,79997.88397590582,149905.12434821596,93858.55642494562,187231.19726243787
0.0,38,38,0.0,0.0,GRAND BOULEVARD,0.0,48492503.1554,28196.8371573,-7389.850990311297,461855.1351992294,-14393.786570813198,296749.4089175343,234239.73027635517,496929.82206651766,-63077.04042572989,609682.5415281842
0.0,39,39,0.0,0.0,KENWOOD,0.0,29071741.9283,23325.1679062,110688.49218398682,326286.22717821423,113868.33743501775,200823.58779622128,176964.84746546473,748536.0678707676,0.0,0.0
0.0,4,4,0.0,0.0,LINCOLN SQUARE,0.0,71352328.2399,36624.6030848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,40,40,0.0,0.0,WASHINGTON PARK,0.0,42373881.4842,28175.3160866,23689.841061431915,347213.63119621784,43051.0311933179,174385.27715292055,56598.61409960321,225916.3631126834,405495.57565546536,511879.78022150375
0.0,41,41,0.0,0.0,HYDE PARK,0.0,45105380.1732,29746.7082016,11664.135122117154,291848.093576923,110601.85972772897,177615.41986359254,276318.96195578395,746167.6259060538,83315.20565478002,794565.7538561439
0.0,42,42,0.0,0.0,WOODLAWN,0.0,57815179.512,46936.9592443,-154048.81491708691,428875.5619102072,88270.91315227009,185139.40713141323,-338634.5037879016,575487.823103686,758.897543555457,390478.0634602517
0.0,1,1,0.0,0.0,ROGERS PARK,0.0,51259902.4506,34052.3975757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11,11,0.0,0.0,JEFFERSON PARK,0.0,64868161.6818,44011.9571704,112147.15511993693,320467.92068821465,50967.23729223986,173032.69154882745,87045.88749248919,370114.3906406275,149107.2291539945,399230.66429907957
0.0,12,12,0.0,0.0,FOREST GLEN,0.0,89130893.6364,74493.821604,47149.528941215474,528362.184575601,191170.91788832433,263926.31821573427,61436.76829474551,544647.060402882,-159675.2162693679,544797.958719046
0.0,13,13,0.0,0.0,NORTH PARK,0.0,70288706.4343,41581.9486539,-38100.99630347318,435347.31076128775,88685.2865875736,207864.6993110391,-44968.62543224146,541662.8828719597,150891.42828055413,593833.6633871729
0.0,14,14,0.0,0.0,ALBANY PARK,0.0,53542230.8191,39339.0164387,121558.48852807847,360485.73964334105,196534.1332247301,219897.0259136463,226510.41840931305,464060.3411665817,123753.30135289903,490233.1498236646
0.0,15,15,0.0,0.0,PORTAGE PARK,0.0,110196097.139,46520.6421377,35913.39997174884,383008.7775310531,53383.379484711404,173198.80060293977,4202.1358273057,413548.17767795664,80342.64771355575,459684.3261164862
0.0,16,16,0.0,0.0,IRVING PARK,0.0,89611382.3106,49083.2240938,160910.06221404808,412852.29756887717,2181.3807502470904,281113.20552059944,108156.59029893792,584003.7358853483,202000.84641705846,476268.3962008055
0.0,17,17,0.0,0.0,DUNNING,0.0,103595001.175,54555.9925337,-18044.33006710243,358812.0205234908,33736.56836481069,210724.80090910848,-3239.2991347902,368146.8734355935,-83525.5542260604,592046.5154791748
0.0,18,18,0.0,0.0,MONTCLARE,0.0,27576393.6325,22404.8521448,153942.0907980819,289887.5891959272,71925.59587700384,209088.99621157753,107825.19647955897,316855.27278155956,823288.9274422992,316394.2313649597
0.0,19,19,0.0,0.0,BELMONT CRAGIN,0.0,109099414.689,43311.707379,-63131.464416988485,387165.06465462135,-42712.45301201826,214192.51380759792,-61124.937317850316,365085.3504571415,-42918.972457097974,457591.835860403
0.0,2,2,0.0,0.0,WEST RIDGE,0.0,98429094.8621,43020.6894583,-5434.328350969023,297211.9762005474,-12843.665844759258,184055.17632598465,28275.62279872554,481294.03033723106,33229.98616180705,600330.5195776086
0.0,20,20,0.0,0.0,HERMOSA,0.0,32602059.4055,27179.0174378,21207.31631205428,380481.99633184023,-62448.97959180677,179999.99999999997,-34785.208808652904,386366.8682231169,200801.6544005439,353373.9279849357
0.0,21,21,0.0,0.0,AVONDALE,0.0,55290595.473,34261.9334038,8115.779527405986,514147.7330922158,-98694.3789899699,410751.1246543711,187137.98727974718,593104.6026913588,-137994.93437811523,612158.9484231265
0.0,22,22,0.0,0.0,LOGAN SQUARE,0.0,100057566.7,49213.4217488,112053.56442740178,541151.7391448301,14812.809573335611,449985.50471751014,148997.09863996578,884361.2559067964,115295.86865430568,630731.3797516566
0.0,23,23,0.0,0.0,HUMBOLDT PARK,0.0,100480876.502,48583.0643299,-90495.92920020806,412834.4241950895,-60063.060100378476,359482.89019466843,-18624.75753727924,398358.8617577333,-61730.81789448955,423454.6219802409
0.0,24,24,0.0,0.0,WEST TOWN,0.0,127562904.597,55203.7186956,53392.80783927263,615481.9311343514,18782.07620021405,523300.6709559572,7770.538327591329,1145736.9910541694,206228.0923645272,715026.6867466145
0.0,25,25,0.0,0.0,AUSTIN,0.0,199254203.427,75226.4749167,34167.850141366194,267607.02806381456,24409.892051208964,142605.75487105787,26095.341893340443,260745.68299553927,21629.78441576271,321276.1247495352
0.0,26,26,0.0,0.0,WEST GARFIELD PARK,0.0,36092848.8151,26238.5419796,47036.58838948608,199142.04863374686,122018.41797814623,56678.48143311848,-215.97380958776483,162296.47807417973,-1040.0894424413582,262607.7467730339
0.0,27,27,0.0,0.0,EAST GARFIELD PARK,0.0,53883220.8462,31514.6259565,139679.3426617241,219203.51254604387,-39081.87198369723,202215.67970837044,37203.61522497464,273539.4173563072,211082.33600804533,261767.2778979899
0.0,28,28,0.0,0.0,NEAR WEST SIDE,0.0,158492466.554,53003.5929406,20032.85545804481,519862.8184240762,-4977.50333507864,532595.2525568351,-472760.00742420217,816353.1969450045,210217.20284475046,408967.6391465939
0.0,29,29,0.0,0.0,NORTH LAWNDALE,0.0,89487422.0242,44959.4596627,22185.705056850056,256391.63488457495,0.0,0.0,-17874.229594921395,226803.0796329737,35298.375251118385,274325.0096147331
0.0,3,3,0.0,0.0,UPTOWN,0.0,65095642.7289,46972.7945549,4193.749058080415,353482.47404455877,-457.83396271234096,328594.3081604099,322478.0839132816,1073783.5306892483,-604637.3010547196,878550.9890115985
